Otimização para pl em TOTEM - Limites: eps_0_mg_0_a1_1_a2_0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.94 | 1.06 | 0 | 600 | 0.4397431096976066 ± 0.00743815922334026 | 0.0847043512291217 ± 0.0026420957729147926 | 1.587660000828566 ± 0.02848425502426266 | 2.4360731679030216 ± 0.04709678920533053 | 0.5092156364065227
0.94 | 1.06 | 0 | 700 | 0.4397431096976066 ± 0.00743815922334026 | 0.0847043512291217 ± 0.0026420957729147926 | 1.587660000828566 ± 0.02848425502426266 | 2.4360731679030216 ± 0.04709678920533053 | 0.5092156364065227
0.94 | 1.06 | 0 | 800 | 0.4397431096976066 ± 0.00743815922334026 | 0.0847043512291217 ± 0.0026420957729147926 | 1.587660000828566 ± 0.02848425502426266 | 2.4360731679030216 ± 0.04709678920533053 | 0.5092156364065227
0.94 | 1.06 | 1 | 600 | 0.43974310877011585 ± 0.007335382587479957 | 0.08470435090974085 ± 0.002605585915244952 | 1.5876600008290336 ± 0.028477583055120603 | 2.436073152283285 ± 0.046725896245911926 | 0.509215636381842
0.94 | 1.06 | 1 | 700 | 0.43974310877011585 ± 0.007335382587479957 | 0.08470435090974085 ± 0.002605585915244952 | 1.5876600008290336 ± 0.028477583055120603 | 2.436073152283285 ± 0.046725896245911926 | 0.509215636381842
0.94 | 1.06 | 1 | 800 | 0.43974310877011585 ± 0.007335382587479957 | 0.08470435090974085 ± 0.002605585915244952 | 1.5876600008290336 ± 0.028477583055120603 | 2.436073152283285 ± 0.046725896245911926 | 0.509215636381842
0.94 | 1.06 | 2 | 500 | 0.439751335150091 ± 0.007437687389859865 | 0.084707258498641 ± 0.002641879969207141 | 1.58766017530719 ± 0.02868446696963378 | 2.4360824099411724 ± 0.047095468318551006 | 0.5092157735522114
0.94 | 1.06 | 2 | 600 | 0.439751335150091 ± 0.007354100735478223 | 0.084707258498641 ± 0.0026121906032987178 | 1.58766017530719 ± 0.028784084233094975 | 2.4360824099411724 ± 0.0467954153000348 | 0.5092157735522114
0.94 | 1.06 | 2 | 700 | 0.439751335150091 ± 0.007354100735478223 | 0.084707258498641 ± 0.0026121906032987178 | 1.58766017530719 ± 0.028784084233094975 | 2.4360824099411724 ± 0.0467954153000348 | 0.5092157735522114
0.94 | 1.06 | 2 | 800 | 0.439751335150091 ± 0.007354100735478223 | 0.084707258498641 ± 0.0026121906032987178 | 1.58766017530719 ± 0.028784084233094975 | 2.4360824099411724 ± 0.0467954153000348 | 0.5092157735522114
0.95 | 1.05 | 1 | 800 | 0.4418387611857062 ± 0.007403525865874479 | 0.0856205640511301 ± 0.0026146491898884133 | 1.6045500011975444 ± 0.02621044277244211 | 2.37421116585544 ± 0.04730985309604414 | 0.5232462578632211
0.95 | 1.05 | 2 | 600 | 0.44183902847505047 ± 0.007431922763933831 | 0.08562061898239506 ± 0.0026246772602394144 | 1.6045500020127057 ± 0.024988694957389423 | 2.3742285121872784 ± 0.047412225953368914 | 0.5232462515241064
0.95 | 1.05 | 2 | 700 | 0.44183902847505047 ± 0.007431922763933831 | 0.08562061898239506 ± 0.0026246772602394144 | 1.6045500020127057 ± 0.024988694957389423 | 2.3742285121872784 ± 0.047412225953368914 | 0.5232462515241064
0.95 | 1.05 | 2 | 800 | 0.44183902847505047 ± 0.007431922763933831 | 0.08562061898239506 ± 0.0026246772602394144 | 1.6045500020127057 ± 0.024988694957389423 | 2.3742285121872784 ± 0.047412225953368914 | 0.5232462515241064
0.96 | 1.04 | 0 | 800 | 0.4439368059470622 ± 0.007594236259543864 | 0.0865342095172526 ± 0.0026665688937264286 | 1.6214400174088457 ± 0.022372993735386926 | 2.312550341806471 ± 0.048350222676604264 | 0.5390194547093115
0.96 | 1.04 | 1 | 700 | 0.44394741511353075 ± 0.007642838972650658 | 0.08653773153098075 ± 0.002683564282187577 | 1.6214403927999228 ± 0.01857838352424135 | 2.3126624282792347 ± 0.04851223537457458 | 0.5390220602058815
0.96 | 1.04 | 1 | 800 | 0.4439426757982618 ± 0.00751360969245582 | 0.08653628807331654 ± 0.0026382271028960666 | 1.6214400000000027 ± 0.022642574842782204 | 2.3125840710536956 ± 0.04804759641907718 | 0.5390194146622347
0.96 | 1.04 | 2 | 500 | 0.4439381377047655 ± 0.007510919210288518 | 0.08653467169914278 ± 0.0026373068065361294 | 1.6214400126955992 ± 0.02204253774154652 | 2.312574568977677 ± 0.04803552721986711 | 0.5390194779055536
0.96 | 1.04 | 2 | 600 | 0.4439381377047655 ± 0.007510919210288518 | 0.08653467169914278 ± 0.0026373068065361294 | 1.6214400126955992 ± 0.02204253774154652 | 2.312574568977677 ± 0.04803552721986711 | 0.5390194779055536
0.96 | 1.04 | 2 | 700 | 0.4439381377047655 ± 0.007510919210288518 | 0.08653467169914278 ± 0.0026373068065361294 | 1.6214400126955992 ± 0.02204253774154652 | 2.312574568977677 ± 0.04803552721986711 | 0.5390194779055536
0.96 | 1.04 | 2 | 800 | 0.4439381377047655 ± 0.007510919210288518 | 0.08653467169914278 ± 0.0026373068065361294 | 1.6214400126955992 ± 0.02204253774154652 | 2.312574568977677 ± 0.04803552721986711 | 0.5390194779055536
0.97 | 1.03 | 0 | 500 | 0.4460823606585804 ± 0.00758414601401314 | 0.08746115849424548 ± 0.0026474543716590877 | 1.6383301430839812 ± 0.020284984472592194 | 2.2512047902742087 ± 0.04863803834842892 | 0.5565561506019031
0.97 | 1.03 | 0 | 600 | 0.4460823606585804 ± 0.00758414601401314 | 0.08746115849424548 ± 0.0026474543716590877 | 1.6383301430839812 ± 0.020284984472592194 | 2.2512047902742087 ± 0.04863803834842892 | 0.5565561506019031
0.97 | 1.03 | 0 | 700 | 0.4460823606585804 ± 0.00758414601401314 | 0.08746115849424548 ± 0.0026474543716590877 | 1.6383301430839812 ± 0.020284984472592194 | 2.2512047902742087 ± 0.04863803834842892 | 0.5565561506019031
0.97 | 1.03 | 0 | 800 | 0.4460823606585804 ± 0.00758414601401314 | 0.08746115849424548 ± 0.0026474543716590877 | 1.6383301430839812 ± 0.020284984472592194 | 2.2512047902742087 ± 0.04863803834842892 | 0.5565561506019031
